Day,Timestamp,Total Flow,Average Occupancy,Average Speed
5,0,52,0.0267,68.1
6,30,120,0.0267,70.8
0,100,135,0.0287,70.4
1,130,113,0.0235,70.4
2,200,98,0.021,
3,230,,0.0177,71.6
4,300,65,0.0138,71.3
5,330,64,0.0138,
6,400,59,0.0122,72.2
0,430,52,0.0128,
1,500,52,0.013,72.1
2,530,48,,74
3,600,,0.014,71.8
4,630,80,0.0156,74.2
5,700,,0.0236,72
6,730,120,0.0226,
0,800,151,0.0293,72.6
1,830,154,0.0311,
2,900,,0.0394,71.5
3,930,247,0.0482,70.9
4,1000,241,0.0467,71
5,1030,304,0.0595,
6,1100,378,0.0735,70.5
0,1130,379,0.0786,68.4
1,1200,392,,70
2,1230,422,0.083,69.3
3,1300,365,0.0707,69.7
4,1330,396,0.0775,69.4
5,1400,372,0.0728,70.2
6,1430,434,0.0848,69.9
0,1500,380,0.079,68.9
1,1530,390,0.0777,69.5
2,1600,369,,69.9
3,1630,,0.0834,70.5
4,1700,366,0.0749,69.3
5,1730,397,0.0801,69.8
6,1800,385,0.0765,70.8
0,1830,370,,70
1,1900,282,0.0598,70.5
2,1930,258,,70.9
3,2000,249,0.0504,71.6
4,2030,,0.0538,70.3
5,2100,209,0.0401,
6,2130,183,0.0378,70.4
0,2200,174,0.0348,
1,2230,138,0.0272,72.3
2,30,66,0.0124,
3,100,42,0.0095,71.1
4,130,48,0.0103,72.1
5,200,49,0.0119,
6,230,37,0.0085,71.8
0,300,25,0.005,72.4
1,330,29,0.0088,70.4
2,400,42,0.0112,67.6
3,430,33,0.0074,72.3
4,500,49,0.0106,72.7
5,530,49,0.011,73
6,600,69,0.0157,70.9
0,630,,0.0242,72.2
1,700,166,0.0367,70
2,730,177,,72
3,800,249,,70.6
4,830,259,0.0509,
5,900,333,,70.4
6,930,338,0.0688,71.4
0,1000,,0.091,70.5
1,1030,448,0.0921,69.8
2,1100,495,0.1121,66.9
3,1130,484,0.1056,67.2
4,1200,474,0.0982,68.8
5,1230,501,,69.1
6,1300,455,0.0936,68
0,1330,461,0.0937,69.7
1,1400,466,0.0952,68.7
2,1430,483,0.1008,
3,1500,496,0.1047,67.9
4,1530,523,0.1077,69
5,1600,454,0.0935,
6,1630,509,0.1061,
0,1700,472,,68.7
1,1730,574,0.128,65.6
2,1800,517,0.1115,67.4
3,1830,439,0.0947,68.1
4,1900,394,0.0846,68.1
5,1930,,0.0634,70.2
6,2000,376,,68.2
0,2030,310,0.0648,69.9
1,2100,306,0.063,70.2
2,2130,,0.0512,69.7
3,2200,262,0.052,70.9
4,2230,217,0.0451,69.4
5,30,108,,69.8
6,100,,0.0161,69.8
0,130,75,0.0153,70.2
1,200,70,0.0142,68.8
2,230,,0.0146,68.5
3,300,46,0.0093,69.2
4,330,38,0.0088,68.5
5,400,40,0.0083,71.9
6,430,32,0.0065,
0,500,48,0.0099,
1,530,52,0.0113,71.7
2,600,72,0.0149,68.7
3,630,104,0.0219,71.1
4,700,,0.0305,71.7
5,730,109,0.0229,68.3
6,800,218,0.0441,70.2
0,830,,0.0517,69.2
1,900,,0.0538,69.6
2,930,291,0.0583,70.5
3,1000,382,0.0799,
4,1030,405,0.0801,69.9
5,1100,427,0.0865,69.8
6,1130,,0.111,66.9
0,1200,478,0.0977,68.2
1,1230,479,0.1036,67.6
2,1300,,0.1107,67.8
3,1330,510,0.1086,67.1
4,1400,474,0.1031,66.8
5,1430,484,,68.4
6,1500,480,0.097,69.2
0,1530,565,,68.8
1,1600,523,0.1098,68.4
2,1630,602,0.1347,
3,1700,560,,66
4,1730,540,0.1296,62.8
5,1800,517,0.1182,62.9
6,1830,545,0.132,61.3
0,1900,551,0.125,63.1
1,1930,,0.0722,68.8
2,2000,404,0.0886,66
3,2030,367,0.078,67
4,2100,329,0.0688,
5,2130,258,,68.7
6,2200,242,,66.8
0,2230,177,,67.5
1,30,71,0.016,66.5
2,100,65,0.0136,66.9
3,130,,0.0136,63.9
4,200,46,0.0102,61.6
5,230,33,0.0113,56
6,300,,0.0085,58.8
0,330,43,0.013,
1,400,64,0.0158,63
2,430,90,,60.8
3,500,141,0.0312,64.8
4,530,228,0.0494,65.3
5,600,242,0.0525,64
6,630,350,0.0719,66.8
0,700,397,0.0843,66.7
1,730,372,0.083,
2,800,364,0.0807,64.9
3,830,385,0.0887,63.1
4,900,382,0.093,62.6
5,930,358,0.0817,63.3
6,1000,332,,62.9
0,1030,383,0.0878,
1,1100,407,0.0944,63.8
2,1130,444,,62.9
3,1200,,0.0968,63.3
4,1230,463,0.1082,
5,1300,414,0.0935,64.5
6,1330,396,,65.1
0,1400,,0.0981,65.4
1,1430,535,0.1186,64.9
2,1500,369,0.4675,14.3
3,1530,510,0.1163,63.3
4,1600,529,0.1148,
5,1630,464,0.0997,
6,1700,534,0.1187,65.3
0,1730,470,0.1019,65.3
1,1800,451,0.1028,64.9
2,1830,387,0.0845,65.5
3,1900,,0.0791,65.1
4,1930,,0.0697,66.5
5,2000,,0.049,66.3
6,2030,205,0.0464,66.4
0,2100,208,0.0458,65.2
1,2130,198,0.0473,64.9
2,2200,119,0.0291,62.1
3,2230,130,0.0296,63.3
4,30,61,0.0161,65.7
5,100,34,0.0081,63.8
6,130,41,0.0137,61.9
0,200,,0.0102,65.7
1,230,32,0.0095,67.4
2,300,43,0.0097,66.2
3,330,38,0.0107,63.6
4,400,40,0.0148,63.5
5,430,73,0.0174,67.4
6,500,116,0.0278,67.4
0,530,207,,70.7
1,600,226,0.0467,71.7
2,630,306,0.0636,70.5
3,700,413,0.0859,70.8
4,730,374,0.0808,70.1
5,800,353,0.0798,69.1
6,830,410,0.0941,68.2
0,900,356,0.0824,
1,930,374,0.0871,68.6
2,1000,375,,68.5
3,1030,357,,65.5
4,1100,358,0.0864,66.4
5,1130,398,0.0895,69.4
6,1200,429,0.0993,67.2
0,1230,434,,67.2
1,1300,395,0.0887,67.3
2,1330,415,,67.6
3,1400,429,,66.9
4,1430,513,0.1156,67
5,1500,502,0.1128,66.6
6,1530,534,,66
0,1600,577,0.1337,65.8
1,1630,,0.1213,68
2,1700,572,0.1245,67.5
3,1730,559,,64.2
4,1800,513,0.115,66.2
5,1830,490,0.1128,66
6,1900,337,,64.6
0,1930,257,0.0591,66.8
1,2000,280,0.0602,69.1
2,2030,,0.0514,66.6
3,2100,220,0.0535,66.4
4,2130,225,0.0508,68.5
5,2200,153,0.0358,
6,2230,166,0.0382,69.2
0,30,66,,67.5
1,100,32,0.0086,
2,130,31,0.0073,67.4
3,200,32,0.0081,69.2
4,230,27,0.0082,66.5
5,300,43,0.0143,61.9
6,330,21,,61.9
0,400,29,0.0079,
1,430,66,0.017,66.4
2,500,108,0.0262,70
3,530,180,0.0399,70.9
4,600,239,,71.1
5,630,283,,70.7
6,700,377,0.0849,69.8
0,730,,0.0883,70.1
1,800,415,0.092,69.2
2,830,,0.1003,68.2
3,900,361,0.0838,67.5
4,930,421,,68
5,1000,,0.0896,67.4
6,1030,356,0.0841,65.5
0,1100,440,0.1015,66.7
1,1130,,0.0924,65.5
2,1200,,0.0971,67.9
3,1230,434,0.0989,
4,1300,432,0.0992,66.2
5,1330,374,0.0886,66
6,1400,415,0.0955,
0,1430,477,0.1051,68.3
1,1500,486,0.11,
2,1530,548,0.1258,66.5
3,1600,,0.1109,68.5
4,1630,,0.1259,67.2
5,1700,531,,66.5
6,1730,,0.1184,66.8
0,1800,457,0.1071,
1,1830,446,0.1013,67.3
2,1900,,0.0659,69.9
3,1930,277,0.0645,67.9
4,2000,,0.0588,69
5,2030,,0.0595,67.4
6,2100,228,0.0524,
0,2130,222,,67.3
1,2200,193,,66.9
2,2230,168,0.041,66.9
3,2300,130,0.0291,69.6
4,30,55,0.0138,
5,100,41,0.0112,66.9
6,130,42,0.0118,
0,200,33,0.0111,
1,230,43,0.0106,68.8
2,300,28,0.0082,65.2
3,330,28,0.0081,66.2
4,400,33,,71.3
5,430,,0.0157,66.5
6,500,114,0.0253,69.8
0,530,171,0.0376,69.8
1,600,,0.0533,69.6
2,630,279,0.0577,71.7
3,700,384,0.081,
4,730,408,0.0891,69.5
5,800,404,0.0906,68.4
6,830,386,,68.1
0,900,369,0.0828,68.1
1,930,400,0.0929,67.3
2,1000,,0.0955,67.7
3,1030,399,0.0992,65.6
4,1100,400,0.0933,
5,1130,424,0.1043,
6,1200,,0.1132,65.3
0,1230,415,0.0961,
1,1300,445,,65.7
2,1330,357,0.0852,64.4
3,1400,480,0.112,65.2
4,1430,,0.1371,64.6
5,1500,557,0.1327,64.4
6,1530,567,0.1385,63.4
0,1600,517,0.121,63.8
1,1630,608,0.2163,42
2,1700,584,0.2024,
3,1730,490,0.1282,56.8
4,1800,472,0.1114,63.1
5,1830,,0.1564,50.2
6,1900,493,0.1119,63.2
0,1930,,0.0631,67.5
1,2000,,0.0651,66.8
2,2030,241,0.0536,66.8
3,2100,220,0.053,64.9
4,2130,223,0.051,65.6
5,2200,212,,66.6
6,2230,167,0.0456,62.7
0,2300,120,0.0254,66.5
1,30,74,0.0204,66.2
2,100,35,0.0078,67.4
3,130,34,0.0084,67.4
4,200,33,0.0084,65.3
5,230,33,0.01,69.3
6,300,,0.0134,65.3
0,330,,0.0111,60
1,400,,0.0118,62.9
2,430,64,0.0163,
3,500,92,0.0239,66.8
4,530,192,0.0456,
5,600,238,0.0534,69
6,630,299,0.0678,67.9
0,700,364,0.0798,
1,730,,0.0808,68
2,800,389,0.0885,65.6
3,830,429,0.0941,
4,900,,0.0896,64.2
5,930,,0.0872,62.9
6,1000,453,0.1074,
0,1030,396,0.0891,64.2
1,1100,,0.097,62.8
2,1130,460,0.1154,
3,1200,471,0.1122,61.9
4,1230,502,0.1152,63
5,1300,494,0.1114,63.3
6,1330,507,0.1194,62.7
0,1400,536,0.1245,
1,1430,608,0.1464,
2,1500,434,0.0917,66.4
3,1530,338,0.0728,65.9
4,1600,601,0.1452,58.8
5,1630,602,0.272,35
6,1700,,0.1665,53.4
0,1730,554,,31.9
1,1800,559,,51
2,1830,509,,64.8
3,1900,569,0.1483,60.1
4,1930,365,0.0748,68.7
5,2000,317,0.0679,69.6
6,2030,295,,68.2
0,2100,,0.0574,68.4
1,2130,244,0.0547,
2,2200,206,,69.5
3,2230,206,0.048,66.7
4,2300,,0.0426,66.2
5,30,98,0.0221,67.5
6,100,75,,70.7
0,130,55,0.0116,
1,200,60,,69.7
2,230,63,0.0135,71.2
3,300,46,0.0115,69.4
4,330,37,0.009,67.7
5,400,33,0.0071,70.8
6,430,,0.0111,70.2
0,500,61,0.0159,68.4
1,530,,0.0169,68.1
2,600,,0.0305,70.7
3,630,168,0.0371,69.9
4,700,,0.0351,70.9
5,730,,0.0403,70.3
6,800,261,0.0547,70.6
0,830,331,0.0687,
1,900,354,,70.5
2,930,397,0.0786,71.7
3,1000,,0.0872,70.3
4,1030,469,0.0972,69.5
5,1100,,0.0988,69.9
6,1130,515,0.1134,67.1
0,1200,488,,65.5
1,1230,518,0.1139,
2,1300,491,0.1063,66.8
3,1330,503,0.1104,66.3
4,1400,493,,69.1
5,1430,,0.1014,68.1
6,1500,459,0.0968,67.9
0,1530,505,0.1048,68.4
1,1600,488,,68.1
2,1630,505,0.1097,
3,1700,507,,69.1
4,1730,501,0.12,
5,1800,443,,67.4
6,1830,395,0.0814,69.3
0,1900,330,0.067,
1,1930,,0.0652,70.3
2,2000,295,0.0592,70.8
3,2030,,0.0591,69.5
4,2100,259,0.0543,70.4
5,2130,269,,70.8
6,2200,266,0.0552,69.9
0,2230,219,0.0447,70.9
1,2300,210,,68.3
2,30,125,0.0265,70
3,100,104,0.0199,71.7
4,130,71,0.0148,72.1
5,200,62,,69.9
6,230,74,,71.1
0,300,56,0.0125,70.8
1,330,55,0.0153,66
2,400,60,0.0131,
3,430,34,0.0069,69
4,500,42,,70.8
5,530,66,0.0134,70.9
6,600,,0.0224,71.8
0,630,116,0.0247,
1,700,110,0.023,
2,730,166,0.0338,71.1
3,800,214,0.0444,70.1
4,830,238,0.049,70.3
5,900,240,0.0453,72
6,930,314,,71.2
0,1000,,0.0757,71.1
1,1030,389,0.0831,68
2,1100,406,0.083,
3,1130,402,0.0807,69.8
4,1200,401,0.0835,69.1
5,1230,492,0.1019,
6,1300,,0.107,68.5
0,1330,464,0.0964,69
1,1400,489,0.0999,
2,1430,488,0.1024,68.6
3,1500,553,,68.3
4,1530,,0.0961,69.5
5,1600,485,0.0977,69.6
6,1630,441,0.0892,69.1
0,1700,450,0.0915,68.6
1,1730,501,,66
2,1800,501,0.1086,67.1
3,1830,397,,67.4
4,1900,,0.0755,68.6
5,1930,343,,67.4
6,2000,298,,68.7
0,2030,,0.0563,68.5
1,2100,330,,66.7
2,2130,256,,65
3,2200,171,0.0352,67.6
4,2230,,0.0363,67.2
5,2300,,0.0275,65.6
6,30,,0.0119,64.5
0,100,44,,65.5
1,130,,0.0105,62.4
2,200,26,0.006,
3,230,48,0.012,
4,300,37,0.0089,61.6
5,330,43,0.0106,
6,400,,0.014,61.2
0,430,86,0.0204,
1,500,150,,63.4
2,530,,0.0471,64.6
3,600,281,,66
4,630,375,,66
5,700,396,0.0863,65.7
6,730,432,0.0881,66.3
0,800,,0.0875,64.8
1,830,,0.0852,65
2,900,375,0.0814,64.6
3,930,,0.1013,63.7
4,1000,399,0.0948,61.7
5,1030,368,0.0882,62.6
6,1100,,0.0892,62.4
0,1130,394,0.0872,
1,1200,430,0.1026,62.8
2,1230,,0.1001,64.1
3,1300,410,,62.6
4,1330,407,0.0906,64.6
5,1400,444,0.0999,64.5
6,1430,487,0.1085,
0,1500,498,0.1151,64.5
1,1530,564,0.1274,64.9
2,1600,512,0.1116,66.5
3,1630,522,0.1213,63.9
4,1700,502,0.1091,66
5,1730,502,0.1108,66.2
6,1800,442,,64.8
0,1830,,0.064,65.7
1,1900,257,0.0543,69.1
2,1930,247,0.0546,67.1
3,2000,460,0.1119,62.4
4,2030,239,0.0539,65
5,2100,213,0.0501,
6,2130,180,0.0397,
0,2200,159,0.0385,62.7
1,2230,136,0.0319,63.3
2,2300,104,0.0232,64.5
3,30,45,0.0128,62.6
4,100,47,,60.5
5,130,31,0.0084,63.5
6,200,,0.0111,62.2
0,230,23,,61
1,300,,0.0055,65.9
2,330,29,0.0089,64.3
3,400,32,0.0097,64.2
4,430,71,0.0195,
5,500,138,0.0324,68.2
6,530,,0.0514,68.9
0,600,,0.0559,68.9
1,630,347,0.0774,68.6
2,700,391,,69.7
3,730,414,0.0912,69.4
4,800,403,0.0865,70.3
5,830,,0.0968,69.7
6,900,384,0.0881,
0,930,,0.0995,67.4
1,1000,401,0.0999,65.5
2,1030,470,,66.6
3,1100,378,0.0914,67.3
4,1130,373,0.0908,65.9
5,1200,403,0.0963,66.1
6,1230,,0.1049,66.3
0,1300,427,0.0988,
1,1330,419,0.0999,65.5
2,1400,460,0.1182,64.5
3,1430,511,0.1173,66
4,1500,558,0.128,66.3
5,1530,,0.1301,65.8
6,1600,556,0.128,65.8
0,1630,510,0.1089,68
1,1700,555,0.1236,66.6
2,1730,,0.1246,65.4
3,1800,468,0.102,67.5
4,1830,435,0.1007,66.2
5,1900,331,0.0687,68.9
6,1930,255,0.0591,
0,2000,,0.0668,66.9
1,2030,254,,67
2,2100,207,0.0522,66.6
3,2130,219,0.05,66.6
4,2200,171,0.0379,
5,2230,107,0.024,66.3
6,2300,116,0.0291,66.4
0,30,59,0.0187,
1,100,38,0.0122,66.8
2,130,24,0.0088,64.8
3,200,36,0.0101,
4,230,22,0.0059,
5,300,,0.0112,61
6,330,20,,64.8
0,400,,0.0106,62.2
1,430,,0.0151,66.9
2,500,111,0.025,69.9
3,530,177,0.0445,69.1
4,600,268,0.0613,69.3
5,630,346,0.0793,68.6
6,700,368,0.079,70.8
0,730,344,0.0753,
1,800,356,0.0768,
