Day,Timestamp,Total Flow,Average Occupancy,Average Speed
1, 0100,52,0.0105,68.5
2, 0130,50,0.0122,61.5
3, 0200,63,0.015,60.8
4, 0230,38,0.0093,58.2
5, 0300,28,0.0071,60.9
6, 0330,39,0.0094,62.6
0, 0400,55,0.0135,58.7
1, 0430,111,0.0286,61.3
2, 0500,155,0.0367,68.2
3, 0530,225,0.0524,63.7
4, 0600,284,0.0636,64.6
5, 0630,339,0.0731,66.3
6, 0700,419,0.0893,66.5
0, 0730,367,0.0785,65.7
1, 0800,395,0.0809,65.7
2, 0830,425,0.093,65.1
3, 0900,398,0.0927,62.6
4, 0930,445,0.1094,62.5
5, 1000,367,0.0854,63.0
6, 1030,384,0.091,63.2
0, 1100,348,0.0817,62.8
1, 1130,381,0.0882,62.7
2, 1200,394,0.0918,61.8
3, 1230,420,0.1015,62.3
4, 1300,402,0.092,63.2
5, 1330,435,0.0989,63.4
6, 1400,421,0.0988,63.5
0, 1430,545,0.1208,64.8
1, 1500,539,0.1273,64.2
2, 1530,536,0.1185,65.3
3, 1600,524,0.1218,63.9
4, 1630,574,0.1246,65.7
5, 1700,492,0.1077,66.0
6, 1730,542,0.131,62.6
0, 1800,484,0.1056,65.9
1, 1830,423,0.0959,64.9
2, 1900,381,0.084,66.0
3, 1930,330,0.0746,66.0
4, 2000,295,0.0639,66.4
5, 2030,237,0.051,66.4
6, 2100,225,0.0525,65.4
0, 2130,221,0.0506,65.9
1, 2200,162,0.0362,64.9
2, 2230,138,0.031,63.5
3, 2300,98,0.0224,64.5
4, 2330,84,0.0207,64.5
5, 0100,34,0.0107,62.8
6, 0130,27,0.0081,60.4
0, 0200,37,0.0091,66.4
1, 0230,32,0.0076,65.0
2, 0300,28,0.0084,65.0
3, 0330,39,0.0128,61.8
4, 0400,44,0.0146,63.3
5, 0430,73,0.017,69.0
6, 0500,119,0.0316,67.7
0, 0530,205,0.0464,69.2
1, 0600,249,0.0574,68.6
2, 0630,332,0.0718,69.8
3, 0700,446,0.0937,70.9
4, 0730,419,0.0916,68.7
5, 0800,424,0.0896,70.0
6, 0830,411,0.0919,69.6
0, 0900,403,0.0912,69.1
1, 0930,461,0.1147,66.5
2, 1000,390,0.094,67.7
3, 1030,413,0.0965,67.6
4, 1100,370,0.0848,67.3
5, 1130,391,0.0881,68.1
6, 1200,402,0.0991,66.0
0, 1230,391,0.0912,66.7
1, 1300,439,0.1024,66.4
2, 1330,400,0.0902,67.9
3, 1400,478,0.1115,66.5
4, 1430,515,0.1219,65.3
5, 1500,514,0.1127,66.9
6, 1530,598,0.1438,64.2
0, 1600,522,0.1223,65.1
1, 1630,538,0.1263,65.0
2, 1700,565,0.1328,64.9
3, 1730,585,0.1324,66.2
4, 1800,528,0.1179,66.3
5, 1830,450,0.099,67.7
6, 1900,376,0.0868,66.4
0, 1930,318,0.0724,65.9
1, 2000,308,0.0718,67.1
2, 2030,286,0.0691,67.1
3, 2100,228,0.053,68.2
4, 2130,228,0.0571,68.3
5, 2200,200,0.0509,66.5
6, 2230,154,0.0367,67.6
0, 2300,165,0.0375,69.5
1, 2330,93,0.0218,68.6
2, 0100,54,0.0118,69.1
3, 0130,31,0.0076,68.3
4, 0200,55,0.016,64.4
5, 0230,30,0.0083,66.4
6, 0300,36,0.0145,62.3
0, 0330,30,0.0097,61.5
1, 0400,46,0.0146,60.5
2, 0430,58,0.0163,64.0
3, 0500,118,0.0314,66.8
4, 0530,212,0.049,67.2
5, 0600,257,0.0565,69.1
6, 0630,296,0.0654,69.8
0, 0700,367,0.0811,69.0
1, 0730,369,0.079,69.4
2, 0800,407,0.0909,69.6
3, 0830,406,0.0892,68.9
4, 0900,406,0.0922,67.5
5, 0930,383,0.0893,66.3
6, 1000,373,0.0895,65.7
0, 1030,392,0.0963,65.4
1, 1100,429,0.1002,66.3
2, 1130,428,0.1028,65.8
3, 1200,378,0.0864,66.3
4, 1230,443,0.1009,67.4
5, 1300,399,0.0936,65.4
6, 1330,431,0.0975,67.1
0, 1400,455,0.1029,67.3
1, 1430,515,0.1177,67.3
2, 1500,527,0.1188,67.4
3, 1530,521,0.1164,67.8
4, 1600,571,0.1384,65.4
5, 1630,569,0.1295,66.7
6, 1700,569,0.1258,67.7
0, 1730,540,0.1203,67.2
1, 1800,482,0.1048,68.8
2, 1830,466,0.1129,64.7
3, 1900,354,0.0791,68.1
4, 1930,348,0.0757,68.7
5, 2000,279,0.0618,67.7
6, 2030,284,0.068,67.4
0, 2100,254,0.0572,67.0
1, 2130,217,0.0454,70.4
2, 2200,203,0.0452,68.8
3, 2230,179,0.0427,67.6
4, 2300,146,0.0365,67.0
5, 2330,100,0.0252,67.2
6, 0100,45,0.0108,68.4
0, 0130,32,0.0075,68.1
1, 0200,31,0.0081,65.9
2, 0230,33,0.0099,62.5
3, 0300,27,0.0073,63.8
4, 0330,30,0.0113,60.9
5, 0400,39,0.015,62.1
6, 0430,52,0.0146,65.0
0, 0500,119,0.0295,67.0
1, 0530,198,0.0461,67.4
2, 0600,269,0.0669,69.0
3, 0630,348,0.0803,68.8
4, 0700,439,0.0971,69.3
5, 0730,408,0.0888,69.3
6, 0800,417,0.0914,69.3
0, 0830,414,0.0952,67.9
1, 0900,376,0.0857,67.7
2, 0930,439,0.1092,65.5
3, 1000,382,0.0888,67.4
4, 1030,373,0.0872,67.0
5, 1100,415,0.0962,68.0
6, 1130,436,0.1029,66.4
0, 1200,460,0.1122,65.8
1, 1230,438,0.0958,67.8
2, 1300,409,0.0947,65.7
3, 1330,446,0.1032,66.7
4, 1400,493,0.1148,65.7
5, 1430,526,0.1173,66.7
6, 1500,581,0.1293,66.2
0, 1530,539,0.1194,65.6
1, 1600,583,0.1285,65.3
2, 1630,600,0.1393,63.9
3, 1700,555,0.1521,58.5
4, 1730,538,0.129,61.7
5, 1800,526,0.1641,47.5
6, 1830,489,0.1152,63.2
0, 1900,387,0.0886,64.2
1, 1930,332,0.0763,65.7
2, 2000,335,0.0763,66.1
3, 2030,265,0.0586,65.5
4, 2100,299,0.0772,62.7
5, 2130,260,0.0628,65.5
6, 2200,248,0.0571,64.6
0, 2230,178,0.0391,66.5
1, 2300,156,0.0385,65.4
2, 2330,103,0.0255,65.5
3, 0100,47,0.0116,64.9
4, 0130,48,0.0111,67.1
5, 0200,42,0.0126,62.5
6, 0230,40,0.0095,66.2
0, 0300,14,0.0049,63.7
1, 0330,31,0.0092,62.3
2, 0400,44,0.0121,65.1
3, 0430,53,0.0134,63.0
4, 0500,101,0.0273,64.7
5, 0530,162,0.0421,65.3
6, 0600,235,0.0565,67.4
0, 0630,289,0.0601,69.8
1, 0700,422,0.0949,67.7
2, 0730,417,0.0933,66.4
3, 0800,386,0.0824,67.0
4, 0830,348,0.08199999999999999,65.3
5, 0900,384,0.0877,65.0
6, 0930,393,0.0883,63.7
0, 1000,421,0.1004,61.9
1, 1030,423,0.1042,62.3
2, 1100,432,0.1044,62.3
3, 1130,528,0.1249,62.3
4, 1200,543,0.1335,62.1
5, 1230,535,0.1324,61.7
6, 1300,513,0.1201,62.3
0, 1330,510,0.1111,64.0
1, 1400,601,0.1444,62.2
2, 1430,596,0.1363,62.7
3, 1500,444,0.0981,64.2
4, 1530,544,0.1325,60.7
5, 1600,590,0.1351,62.8
6, 1630,536,0.1283,62.2
0, 1700,558,0.124,64.9
1, 1730,550,0.1327,63.1
2, 1800,530,0.1243,63.4
3, 1830,529,0.1256,62.6
4, 1900,524,0.1206,65.9
5, 1930,379,0.0787,68.9
6, 2000,354,0.0723,69.8
0, 2030,325,0.0689,69.8
1, 2100,295,0.0664,67.7
2, 2130,305,0.0692,66.6
3, 2200,255,0.0568,67.7
4, 2230,209,0.0488,67.0
5, 2300,199,0.0437,68.6
6, 2330,152,0.0324,67.9
0, 0100,72,0.0169,69.6
1, 0130,74,0.0157,70.3
2, 0200,65,0.0138,70.9
3, 0230,54,0.0105,73.2
4, 0300,53,0.0124,72.0
5, 0330,33,0.0069,72.2
6, 0400,39,0.0097,71.0
0, 0430,46,0.0103,72.5
1, 0500,47,0.0109,73.7
2, 0530,72,0.0188,69.4
3, 0600,98,0.0219,70.2
4, 0630,147,0.0301,72.4
5, 0700,159,0.0311,72.8
6, 0730,244,0.0523,70.0
0, 0800,289,0.059,71.4
1, 0830,315,0.0683,69.8
2, 0900,356,0.0725,70.8
3, 0930,375,0.0775,71.1
4, 1000,471,0.0984,68.7
5, 1030,461,0.0964,68.9
6, 1100,428,0.0897,68.4
0, 1130,498,0.1034,68.6
1, 1200,431,0.0877,68.8
2, 1230,519,0.1105,67.8
3, 1300,466,0.097,67.8
4, 1330,488,0.1018,68.2
5, 1400,442,0.0902,68.8
6, 1430,540,0.1101,69.0
0, 1500,465,0.0941,70.0
1, 1530,464,0.0941,70.0
2, 1600,493,0.1007,68.6
3, 1630,499,0.0992,69.9
4, 1700,457,0.1015,66.8
5, 1730,442,0.0989,63.0
6, 1800,473,0.1118,63.2
0, 1830,440,0.093,67.2
1, 1900,332,0.07,67.5
2, 1930,294,0.0601,69.5
3, 2000,311,0.066,68.4
4, 2030,236,0.049,69.3
5, 2100,243,0.0527,68.8
6, 2130,228,0.05,69.2
0, 2200,251,0.0504,70.1
1, 2230,236,0.0502,69.5
2, 2300,222,0.0481,68.3
3, 2330,164,0.0344,68.8
4, 0100,69,0.016,66.5
5, 0130,63,0.019,66.0
6, 0200,74,0.015,68.2
0, 0230,66,0.0136,69.0
1, 0300,39,0.009000000000000001,67.3
2, 0330,43,0.0113,67.7
3, 0400,31,0.0066,68.9
4, 0430,37,0.009000000000000001,69.8
5, 0500,30,0.0096,68.2
6, 0530,51,0.0117,69.8
0, 0600,68,0.0139,71.0
1, 0630,115,0.0257,70.5
2, 0700,121,0.0243,71.8
3, 0730,147,0.03,71.0
4, 0800,142,0.0283,70.4
5, 0830,190,0.0387,69.6
6, 0900,253,0.0522,69.4
0, 0930,295,0.0624,68.3
1, 1000,358,0.0743,68.6
2, 1030,380,0.1058,54.8
3, 1100,436,0.0979,64.3
4, 1130,390,0.0877,65.5
5, 1200,481,0.1088,65.6
6, 1230,417,0.0857,68.0
0, 1300,464,0.0974,68.1
1, 1330,471,0.096,68.8
2, 1400,406,0.0811,69.3
3, 1430,479,0.1015,67.7
4, 1500,463,0.0964,67.4
5, 1530,505,0.109,67.1
6, 1600,470,0.0992,67.7
0, 1630,437,0.0906,68.1
1, 1700,418,0.0881,67.5
2, 1730,432,0.0902,67.8
3, 1800,422,0.0876,68.4
4, 1830,339,0.0786,64.8
5, 1900,319,0.0649,67.8
6, 1930,299,0.0645,65.8
0, 2000,328,0.0696,66.4
1, 2030,326,0.0697,66.4
2, 2100,250,0.0533,67.4
3, 2130,270,0.0597,66.5
4, 2200,268,0.059,66.6
5, 2230,177,0.0358,67.0
6, 2300,133,0.0268,68.4
0, 2330,116,0.0277,65.3
1, 0100,54,0.0126,62.3
2, 0130,44,0.0123,61.0
3, 0200,37,0.009000000000000001,61.8
4, 0230,47,0.0101,63.7
5, 0300,18,0.0044,58.2
6, 0330,49,0.0128,63.1
0, 0400,55,0.0145,58.8
1, 0430,98,0.024,61.5
2, 0500,156,0.0357,64.8
3, 0530,181,0.0406,64.5
4, 0600,272,0.0579,65.8
5, 0630,353,0.0735,66.4
6, 0700,370,0.0788,66.0
0, 0730,364,0.08,65.8
1, 0800,415,0.0904,65.1
2, 0830,407,0.0927,64.3
3, 0900,345,0.0793,64.1
4, 0930,377,0.0868,63.0
5, 1000,382,0.0889,62.7
6, 1030,356,0.084,62.1
0, 1100,430,0.1,63.3
1, 1130,394,0.0944,62.4
2, 1200,394,0.0915,63.1
3, 1230,409,0.0949,62.8
4, 1300,383,0.0887,63.6
5, 1330,378,0.0839,63.7
6, 1400,429,0.0998,63.5
0, 1430,477,0.1091,63.7
1, 1500,480,0.1091,64.7
2, 1530,562,0.1223,65.3
3, 1600,584,0.1328,64.5
4, 1630,533,0.1188,65.5
5, 1700,531,0.1189,65.6
6, 1730,532,0.1187,65.1
0, 1800,449,0.1007,65.4
1, 1830,420,0.0955,65.1
2, 1900,343,0.0753,66.7
3, 1930,305,0.0691,66.0
4, 2000,291,0.0675,64.9
5, 2030,261,0.06,63.6
6, 2100,237,0.0573,64.0
0, 2130,215,0.0493,63.9
1, 2200,164,0.0392,62.4
2, 2230,127,0.0306,62.8
3, 2300,95,0.0221,64.9
4, 2330,82,0.0183,63.1
5, 0100,38,0.01,62.4
6, 0130,33,0.0126,57.4
0, 0200,37,0.0119,64.3
1, 0230,26,0.0078,59.5
2, 0300,18,0.0051,64.4
3, 0330,30,0.011,63.5
4, 0400,39,0.0123,61.9
5, 0430,52,0.013,64.1
6, 0500,112,0.0271,65.8
0, 0530,203,0.0477,67.2
1, 0600,246,0.0576,67.5
2, 0630,363,0.0779,69.5
3, 0700,437,0.0934,70.0
4, 0730,390,0.0857,69.0
5, 0800,390,0.0932,67.5
6, 0830,356,0.0798,69.2
0, 0900,393,0.0913,67.7
1, 0930,409,0.0978,67.4
2, 1000,336,0.0817,66.8
3, 1030,377,0.0893,66.5
4, 1100,390,0.0999,64.5
5, 1130,382,0.0938,65.5
6, 1200,394,0.0925,66.0
0, 1230,441,0.1031,66.6
1, 1300,440,0.128,63.1
2, 1330,399,0.0889,66.8
3, 1400,508,0.1165,66.7
